T09,Public expenditure on education (as of 2021),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
417,Kyrgyzstan,2010,All staff compensation as % of total expenditure in public institutions (%),64.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2010,Capital expenditure as % of total expenditure in public institutions (%),6.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2015,All staff compensation as % of total expenditure in public institutions (%),68.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2015,Capital expenditure as % of total expenditure in public institutions (%),15.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2017,All staff compensation as % of total expenditure in public institutions (%),70.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2017,Capital expenditure as % of total expenditure in public institutions (%),14.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2017,Basic access to computers by level of education: Primary,88.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2017,Basic access to computers by level of education: Lower secondary,89,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2017,Basic access to computers by level of education: Upper secondary,86,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2021,All staff compensation as % of total expenditure in public institutions (%),79.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2021,Capital expenditure as % of total expenditure in public institutions (%),9.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2021,Basic access to computers by level of education: Upper secondary,95,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
417,Kyrgyzstan,2023,Basic access to computers by level of education: Upper secondary,96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
418,Lao People's Dem. Rep.,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
418,Lao People's Dem. Rep.,2010,All staff compensation as % of total expenditure in public institutions (%),65.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
418,Lao People's Dem. Rep.,2010,Capital expenditure as % of total expenditure in public institutions (%),18.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
418,Lao People's Dem. Rep.,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
418,Lao People's Dem. Rep.,2014,All staff compensation as % of total expenditure in public institutions (%),72.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
418,Lao People's Dem. Rep.,2014,Capital expenditure as % of total expenditure in public institutions (%),15.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
428,Latvia,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
428,Latvia,2004,All staff compensation as % of total expenditure in public institutions (%),69.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
428,Latvia,2004,Capital expenditure as % of total expenditure in public institutions (%),8.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
428,Latvia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
428,Latvia,2010,All staff compensation as % of total expenditure in public institutions (%),65.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
428,Latvia,2010,Capital expenditure as % of total expenditure in public institutions (%),12.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
428,Latvia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
428,Latvia,2015,All staff compensation as % of total expenditure in public institutions (%),60.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
